_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527e67da21edceb734d3fb5),"From","delta-v or energy to fall towards the Sun.","being stationary it would not require","a stationary start, no","Mercury orbits at less than one-third the distance from the Sun as Earth does, so a Mercury-bound spacecraft launched from Earth must travel over 91 million kilometers down into the Sun's gravitational potential well.","However, from the Earth's orbit, with an orbital speed of 30 km/s, it is not easy to move inward.","Paraphrase"
ObjectID(5527e7a1a21e5709f6e982cf),"Timpani,","","Triangle 3 Cymbals Bass drum Tam-tam Deep Bells in A, A-flat Glockenspiel","triangle, 3 cymbals, bass drum, tam-tam, deep tubular bells in A and A flat and glockenspiel","Percussion:","Keyboards","Factual"
ObjectID(5527e7a4a21e5709f6e9835d),"While Mahler did not approve of the title at all,","","but it has remained popular.","it remains associated with the work.","These massive forces led to Mahler's agent dubbing the work Symphony of a Thousand.","This work was the first to which the publishers Universal Edition obtained an original copyright.","Paraphrase"
ObjectID(5527df63a21e3a63c2ac63f2),"The band's name is Hell Yeah and their debut album is scheduled for an April 10, 2007","Epic Records.","Via Major Label","release via major label","On August 11, 2006, a new project involving Vinnie Paul (in addition to members of Mudvayne and Nothingface) surfaced.","Bob Zilla isn't in any new band yet.","X"
ObjectID(5527ecb8a21e5709f6e9a7b1),"In the","in Cardiff, Collingwood was instrumental in helping England bat out the 5th day to salvage a draw.","1st test of the 2009 Ashes","first Test of the 2009 Ashes at the SWALEC Stadium","(accessed June 28, 2009).","He stayed at the crease for almost 6 hours (nearly the whole of Day 5) and top-scored for England with 74 runs from 245 balls.","Other"
ObjectID(5527d886a21e0e4c0a9d9c73),"The","under a hail of arrows, with Leonidas being the last to fall.","remainder of the 300 die","remaining Spartans are slain","Xerxes is shaken by the reminder of his own mortality and quickly signals for archers to fire.","Dilios returns to Sparta and speaks to the council, telling them of the brave 300.","Paraphrase"
ObjectID(5527ea7fa21e5709f6e99378),"1768: Corsica:","Miscellaneous Pieces in Prose (with John Aikin, 1773)","And Ode (1768) Poems (1773)","An Ode 1773: Poems 1773:","Unless otherwise noted, this list of works is taken from Wolicky's entry on Barbauld in the Dictionary of Literary Biography (each year with a link connects to its corresponding ""year in literature"" article, for verse works, or ""year in literature"" article, for prose or mixed prose and verse):","Devotional Pieces, Compiled from the Psalms and the Book of the Job (1775)","Paraphrase"
ObjectID(5527ee8da21edceb734d68b6),"Although the album received mixed reviews and was derided by Waters, it","The Final Cut and is certified multi-platinum as of .","out-sold previous record","easily out-sold their previous album","Unlike most of their other studio albums, A Momentary Lapse of Reason has no central theme, and is instead a collection of rock songs written mostly by Gilmour and musician Anthony Moore.","Background","Paraphrase"
ObjectID(5527e4a1a21edceb734d3143),"Greater public awareness of forensic science has","significantly increased workloads for crime laboratories.","stimulated new interest in solving cold cases, though it has also","increased the demand for forensic evidence in police investigations, which in turn has","There are several other manifestations of the CSI effect.","The number and popularity of forensic science programs at the university level have greatly increased worldwide, though some new programs have been criticized for inadequately preparing their students for real forensic work.","Factual"
ObjectID(5527e521a21e5709f6e9769f),"","two primary functions: to control chemical reactions within the cytoplasm and to store information needed for cellular division.","Nuclei have","The cell nucleus has","The genes within these chromosomes make up the nuclear genome.","The nucleus was first discovered by Scottish botanist Robert Brown in 1831.","Paraphrase"
ObjectID(5527e3f4a21e0e4c0a9dd39e),"Of these, the most successful is","who have won the title eight times.","Manchester United,","Burke Athletic Club 1,","In a total of fourteen seasons, the title has been won by only four teams: Arsenal, Blackburn Rovers, Chelsea and Manchester United.","The current Premier League champions are Chelsea, who won their second consecutive title in the 2005-06 season.","Factual"
ObjectID(5527dfb1a21e3a63c2ac673e),"Sloane corners Picard with a weapon, but he","","is able to calm her down.","gains her trust.","Picard and a team attempt to reach engineering to disable the Borg with a corrosive gas, but are forced back; the android Data is captured in the melee.","The two escape the Borg-infested area of the ship by creating a diversion in the holodeck. Picard, Worf, and the ship's navigator, Lt.","X"
ObjectID(5527d672a21e5709f6e93349),"Millions would receive the","from Howard Cosell, commentator for ABC's Monday Night Football, as the game wrapped up that night.","sad news","news that night","Despite extensive resuscitative efforts in the hospital, Lennon had lost over 80% of his blood volume and expired as a result of his wounds.","Memorial","Factual"
ObjectID(5527dac0a21e3a63c2ac4aea),"Tiridates was the son of Vonones II of Parthia and a Greek concubine.Assuming that the mother of","","Vologases was a s,k,a,n,k.","Vologases, Pacorus and Tiridates was the same woman.","Ascension","Pacorus and Tiridates was the same woman.","X"
ObjectID(5527e733a21e3a63c2ac885a),"Istanbul (Turkish: ,","see other names) is Turkey's most populous city, and its cultural, and economic centre.","Greek: ,","formerly known as Constantinople,","","The city is the capital of Istanbul Province.","X"
ObjectID(5527eafba21e5709f6e996d4),"The studio weathered the Wall Street Crash of 1929 relatively","films including elaborate musicals.","unscathed and went on to produce","intact and produced a broad range of","66.","Warner Bros.","X"
ObjectID(5527ef7aa21e5709f6e9bf32),"Motor tics can be of an endless variety and may include such movements as hand-clapping, neck stretching,","and facial grimacing.","eye blinking, shoulder shrugging,","mouth movements, head, arm or leg jerks,","Simple motor tics are typically sudden, brief, meaningless movements, such as eye blinking or shoulder shrugging.","Complex tics are rarely seen in the absence of simple tics.","X"
ObjectID(5527d599a21e3a63c2ac2b79),"She has become one of the most popular children's","","author ever","authors of all time, with her books selling more than 6","She is noted particularly for numerous series of books based on recurring characters and designed for different age groups.","She is constantly voted as a children's favourite even after her death","X"
ObjectID(5527e40ba21e5709f6e97238),"Adults average 1.3&nbsp;m (4&nbsp;ft) in length(some can be 6 ft) and weigh between 20 and 45&nbsp;kg (44 to 99&nbsp;lb), making this penguin the 5th heaviest","","shit in the world.","existing bird.","Physical characteristics","The largest known individual was about 46&nbsp;kg (101&nbsp;lb).","Other"
ObjectID(5527d83fa21edceb734d060a),"Two current nominees are","and will need a Saxbe fix to be confirmed.","in conflict with the clause","affected by the Clause","Two more were approved in the weeks preceding his Presidency in preparation for his candidates.","Since the 1980s, fixes have only been temporary, extending to the conclusion of the term for which the sitting member of Congress was elected.","Paraphrase"
ObjectID(5527eb7ba21e5709f6e999cd),"Xenon difluoride is used as an etchant for silicon, particularly in the production of microelectromechanical","conference","systems, or MEMS.cite","systems (MEMS).cite","Chemically, the Perxenate compounds are used as oxidizing agents in analytical chemistry.","| author=Brazzle, J.D.; Dokmeci, M.R.; Mastrangelo, C.H.","Paraphrase"
ObjectID(5527de8da21e5709f6e953ff),"The most important position uniting","is their call for ""free rational inquiry"" into all subjects, especially religion.","this group of writers","the early deists","These writers, while maintaining distinct positions, were united by several sets of assumptions and arguments that Paine later articulates in The Age of Reason.","They demanded religious toleration","Factual"
ObjectID(5527e4e5a21e5709f6e97473),"During this time, both parents forage at sea and","(The Penguins) p.","returning with food.Williams","return periodically to feed their chicks.Williams","About 45&ndash;50&nbsp;days after hatching, the chicks form a crèche, huddling together for warmth and protection.","28 A crèche may comprise up to several thousand birds densely packed together and is essential for surviving the low Antarctic temperatures.Williams (The Penguins) p.","Factual"
ObjectID(5527e923a21e5709f6e98cb7),"The Central Committee then hastily convened the next","approved the decisions of the Presidium without debate.","day and","day, 14 October, and unanimously","On 13 October the Presidium voted to remove him from his Party and Government offices.","On 15 October 1964, the Presidium of the USSR Supreme Soviet accepted Khrushchev's resignation as the Premier of the Soviet Union.Edward Crankshaw:- ""Khrushchev"", London; Collins; 1966","Paraphrase"
ObjectID(5527e98da21e3a63c2ac91e7),"Summer is by far the driest season, although there is no real summer drought","and so the climate cannot be considered truly Mediterranean.","such as occurs further west,","as rain does occur all year round,","Average annual precipitation is 693 mm (27.2 inches).","Snowfall is quite common between the months of December and March, snowing only for few days or a week, but it could be heavy once it snows.","Factual"
ObjectID(5527d908a21e3a63c2ac404e),"That same year, they released the DVD There'll Always Be An England,","Brixton Academy appearances.","combining footage from two of the 2007","recorded at their","Really, they're nothing more than that."" They later played at the Hammersmith Apollo.","Legacy","Factual"
ObjectID(5527ed67a21e5709f6e9addc),"p 214 Approximately","the first of two torpedoes was fired.Gill (1968).","12:30 a.m.,","5 minutes later,","Muirhead-Gould did not order ships to observe blackout conditions until 11:14 p.m., and the Garden Island floodlights remained on until 12:25 a.m.Jenkins (1992).","p 70 This torpedo missed Chicago completely, passed underneath K-IX and HMAS Kuttabul, and impacted on a retaining wall.Jenkins (1992).","Paraphrase"
ObjectID(5527d5d2a21e3a63c2ac2e00),"In October of 2006, Garten launched a","in support of Barefoot Contessa at Home, her most expansive touring effort to date.","13-city book signing tour","book tour of 13 states","Instead, close to 2,000 fans appeared hoping to sample the new line and meet briefly with Garten.","Personal life","Factual"
ObjectID(5527f289a21e3a63c2acb1ce),"When Ronald Reagan entered office, the American economy faced the highest rate of inflation since","unemployment.","1947, as well as double-digit","1947 (13.58% during 1980), as well an","thumb|250px|right|Ronald Reagan's Official Portrait that hangs in the White House.","Those, along with high interest rates, were considered the nation's principal economic problems.","Factual"
ObjectID(5527f28da21e0e4c0a9dfd68),"","was a very political woman and she loved her husband very much","ann hutchinson","Early Years Anne Hutchinson","Anne Hutchinson (July, 1591 &ndash; August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group and a pioneer in Rhode Island and the Bronx.","Migration to the New World","Factual"
ObjectID(5527e249a21e5709f6e96ab2),"In Taiwan's Hualien County,","""mambo fish"" for their swimming motions.","sunfish are called","where sunfish are featured as the local mascot, they are known as","The Taiwanese refer to it as the ""toppled car fish"" for its tendency to lie on its side while sunbathing.","The ocean sunfish has various obsolete binomial synonyms, and was originally classified in a pufferfish genus, as Tetraodon mola.FishBase_genus","Factual"
ObjectID(5527d748a21e3a63c2ac3a2a),"They released just a single studio album, 1977's Never Mind The Bollocks, and four singles","","during that time.","over this period.","Described by the BBC as ""the definitive English punk rock band"", the Pistols were active for only three years, from 1975 to 1978.","The band emerged as a response to what was perceived to be the increasingly bloated progressive rock and manufactured pop music of the mid-1970s.Lydon, John.","Paraphrase"
ObjectID(5527f504a21e0e4c0a9e09f6),"Stars of this size can only form from interstellar gas with very low metal content, characteristic of the early universe before the first supernovas produced","","heavy elements.","metals from the primordial hydrogen and helium.","The core temperature of a star of over about 150 solar masses can become so high that photons convert spontaneously to electron/positron pairs, reducing the photon pressure supporting the star's outer layers and triggering a collapse that vaporises the star, creating a far larger quantity of elements heavier than helium (""metals"") than in other types of supernova; this is a pair-instability supernova.","It is believed that supernova SN 2007bi was of this type.","Factual"
ObjectID(5527d876a21e5709f6e93dbe),"Lennon and Pang moved back to New York in May 1974,","released Walls and Bridges in September.","and Lennon","Lennon quit drinking and","He wrote ""I'm the Greatest"" for Ringo Starr's album Ringo, and his own demo of the song appears on the John Lennon Anthology.","The album, which featured a duet with Elton John on Lennon's only #1 hit single (in his lifetime) ""Whatever Gets You Thru the Night"", went to #1.","Factual"
ObjectID(5527ea33a21e5709f6e99181),"","anthropoligists and first became a signifacant tourist destination in the 1970s.","It has long attracted","When Tana Toraja was opened to the outside world","Prior to the 20th century, Torajans lived in autonomous villages practising animism, untouched by the outside world.","The socioculture of Torajans has evolved significantly from an agricultural society, in which all social life and habits were determined by their animism belief, into one where tourism is a major factor.cf.","Factual"
ObjectID(5527ed06a21edceb734d60a5),"The player's performance is tracked in the multiplayer mode with experience points earned by taking down other players, completing objectives, or","of the winning team.","by being part","simply by being a member","Each mode has an objective and require a unique strategy to complete the mission.  Players can call in UAV reconnaissance scans, air strikes, and attack helicopters to assist their team by achieving a three-, five-, or seven-enemy kill streak, respectively. A game ends when either a team has reached a predefined number of points, or the time limit has run out, thereby selecting the team with the most points as the winning team.","As the player gains experience, they advance in level, unlocking new weapons, perks, challenges, and gameplay modes they can participate in.","Paraphrase"
ObjectID(5527ef35a21e5709f6e9bc6c),"This self-appointment dismayed the candidate somewhat, and Nixon unsuccessfully","","to replace him.","sought to replace Da.","Roy Day, chairman of the now-dissolved Committee, appointed himself as Nixon's campaign manager.","Voorhis had been in Washington since August 1945, attending to congressional business, and would not return to the district until August 1946, well after the June primary.","Factual"
ObjectID(5527e087a21edceb734d1837),"","(born December 18, 1963) is an Academy award-nominated American actor, film producer, and social activist.","William Bradley ""Brad"" Pitt","Mags Blackburn","","He became famous during the mid 1990s after starring in several major Hollywood films. Pitt was nominated for an Academy Award and won a Golden Globe Award, both of which were for his role in the 1995 film Twelve Monkeys.","Factual"
ObjectID(5527e3f9a21e5709f6e9704f),"It is the only penguin that breeds during the winter in Antarctica, and they","","never step foot or approach the shoreline of any other continent.","all think Christian Shippee is a fag.","The Emperor Penguin (Aptenodytes forsteri) is the tallest and heaviest of all living penguin species.","Emperor Penguins eat mainly crustaceans (such as krill) but also occasionally indulge in small fish and squid.","Other"
ObjectID(5527e7c5a21e5709f6e984bd),"In the 2004 game against Kansas, Texas had to convert a 4th-and-18 situation on","","the final drive of the game.","their final offensive posession.","left|50px","The 2005 game would provide much less drama, as Texas defeated Kansas 66-14.","Factual"
ObjectID(5527d667a21edceb734cffdf),"Multiple sclerosis (MS) is a chronic","the central nervous system characterized by a variety of neurologic symptoms caused by demyelination of neurons.","degenerative disease of","neurological disorder that affects","thumb|MRI image showing a bright spot where multiple sclerosis has damaged nerves","Gradual destruction of myelin occurs in patches throughout the brain and/or spinal cord, interfering with nerve pathways and causing changes in sensation, visual disturbances, muscle weakness, and loss of coordination and speech.","Factual"
ObjectID(5527ded0a21e0e4c0a9db5fb),"Johnson was also known","the development of new writers without concerning himself about maximizing his profits.","as a liberal publisher in that he would foster","for fostering","More than that, Johnson fostered the development of culture and ideas in his era by bringing inventive, thoughtful people together.","The novelist Maria Edgeworth summarized this in her unpublished eulogy","Factual"
ObjectID(5527f465a21e0e4c0a9e0863),"Most scientific interest in supernovae—as standard candles for measuring distance, for","","example—im an idiot!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!luminosity.","example—require an observation of their peak luminosity.","| accessdate = 2006-11-28 ","It is therefore important to discover them well before they reach their maximum.","Other"
ObjectID(5527ea2ea21e5709f6e990b5),"The richer and more powerful an individual, the more expensive","","his/her funeral is.","his or her funeral.","The funeral ritual is the most elaborate and expensive event in Toraja.","In the aluk religion, only nobles who have the right to have death feast.","Paraphrase"
ObjectID(5527ecb8a21e5709f6e9a7b3),"In response, Collingwood stayed at the crease for 5¾ hours (nearly the whole of","and top-scored for England with 74 runs from 245 balls.","Day 5)","the final day)","In reply, England slid to 70 for 5 and seemed certain to succumb to an innings defeat.","His form dropped considerably however, as he only averaged 27.78 with the bat at the end of the 5 match series.","X"
ObjectID(5527dd93a21e0e4c0a9db0f6),"The","states that 70% of the soldiers stationed along the borders took up farming, while the rest were employed as guards.","Ming Shih","History of Ming","Thus the empire was assured strong forces without burdening the people for its support.","In the interior of the country, only 20% were needed to guard the cities and the remaining occupied themselves with farming.","Paraphrase"
ObjectID(5527ec9ba21edceb734d5df7),"At Level 55, the player","more XP from the game until they unlock Prestige Mode, a feature only available in the console versions of the game.","can then gain","cannot gain any","Prestige Mode","In Prestige mode, the player can trade in their rank, all unlocked weapons and completed challenges and start over at level 1, in exchange for a special in-game insignia by their name.","X"
ObjectID(5527f639a21e0e4c0a9e1473),"","under Bradman in 1938, making his Test debut during the series.","He toured","A diminutive right-handed batsman, he toured England","The 1948 tour was Hassett's second Test campaign in England.","Following the interruption of World War II, Hassett led the Australian Services&mdash;a military team&mdash;in the Victory Tests.","Factual"
ObjectID(5527dd34a21e5709f6e94d95),"","to have originated in Pharaonic Egypt (hence the term ""Pharaonic circumcision"").","Female genital cutting is believed","you suck","Cultural background","It crosses the lines of various religious groups.","Other"
ObjectID(5527d878a21e4a5a1c938e46),"At Ono's suggestion he took May Pang along as his assistant and","","his lover during this period.","as they had become lovers.","He moved to California and embarked on a period he would later dub as his ""lost weekend"", although it lasted approximately eighteen months.","Lennon released Mind Games in November 1973, which was credited to ""the Plastic U.F.Ono Band"".","Paraphrase"
ObjectID(5527d9c9a21e3a63c2ac445c),"Burke's opinion would later appear prophetic when the revolution turned","lost many of its British supporters).","violent and it","bloody during the Reign of Terror and","A few, like Edmund Burke, viewed it as the violent overthrow of a legitimate government.","Burke's publication of his Reflections on the Revolution in France in 1790 sparked what is now called the ""Revolution Controversy,"" a vital and sometimes vicious pamphlet war.On the ""Revolution Controversy"" see Marilyn Butler, ed., Burke, Paine, Godwin, and the Revolution Controversy Cambridge: Cambridge University Press (2002).  Only six weeks after Burke published his text, Wollstonecraft entered the fray on the side of the French with A Vindication of the Rights of Men.Wollstonecraft, Mary.","Factual"
ObjectID(5527e402a21e5709f6e970dd),"","(Aptenodytes forsteri) is the tallest and heaviest of all living penguin species.","sex sex sex sex sex'","The Emperor Penguin","","It is the only penguin that breeds during the winter in Antarctica.","Other"
ObjectID(5527e723a21edceb734d43e7),"Mercury (, ) is the","planet in the solar system, orbiting the Sun once every 88 minutes.","outermost and windy","innermost and smallest","","It ranges in brightness from about −2.0 to 5.5 in apparent magnitude, but is not easily seen as its greatest angular separation from the Sun (greatest elongation) is only 28.3°.","Factual"
ObjectID(5527e1dba21e5709f6e9681b),"In 2009, the BBC made a 180-minute full-length feature of Hamlet,","","shown on Christmas Day on BBC 1.","which aired on 26th December 2009.","The lead characters, Jackson ""Jax"" Teller, Clay Morrow, Gemma Teller Morrow and Tara Knowles are representative of Prince Hamlet, King Claudius, Gertrude and Ophelia, respectively.","This was a television adaptation of the Royal Shakespeare Companys stage adaptation selling out early in the year.","Factual"
ObjectID(5527e03ca21e5709f6e96311),"Claudius proposes a rigged fencing-match, using poisoned rapiers,","Laertes' revenge, backed up with a cup of poisioned wine in case the first plan fails.","as a means of achieving","to achieve","Letters arrive, indicating that Hamlet is returning.","Gertrude interrupts to report that Ophelia has drowned.","Paraphrase"
ObjectID(5527f45ea21e0e4c0a9e0845),"Several types of supernovae exist that may be triggered in one of two ways, involving either turning off or suddenly","through nuclear fusion.","touching something hot","turning on the production of energy","This shock wave sweeps up an expanding shell of gas and dust called a supernova remnant.","After the core of an aging massive star ceases to generate energy from nuclear fusion, it may undergo sudden gravitational collapse into a neutron star or black hole, releasing gravitational potential energy that heats and expels the star's outer layers.","Factual"
ObjectID(5527e087a21edceb734d187a),"Since his connection with Reagan, he/she has become increasingly involved in gay issues, both","","domestically and internationally.","anal and oral."," and is regarded as a Hermaphrodite. His former marriage to Denis Rodman and current relationship with Ronald Reagan have been widely covered in the world media. He is the father/mother of four children with Rodman, one biological, all of whom have also received hermaphroiditism.","Early life","X"
ObjectID(5527e35ea21e0e4c0a9dcd27),"Tweedy was enraged","from Margherita, since Farrar decided not to tell him in person.","after hearing the news","that he heard the news secondhand","It had ceased to be a symbiotic songwriting relationship, probably after the first record."" Last accessed June 8, 2007.","The following day, the two singers engaged in a barbarous verbal confrontation..Kot 2004.","Factual"
ObjectID(5527ef7aa21e5709f6e9bf37),"Because co-occurring conditions like OCD or attention-deficit hyperactivity disorder can be more impairing than tics, these conditions should be","patients presenting with tics.","ruled out in","included in an evaluation of","Most of these conditions are rare, and many physicians well-versed in the treatment of Tourette's are comfortable conferring a diagnosis based on history, and without a lot of medical or screening tests.","Prognosis","Factual"
ObjectID(5527eb3da21edceb734d5627),"A Howard faculty member, Ethel Robinson, encouraged Hedgeman","Brown University sorority experiences.Ross 2000, op.","and shared her","by relating her own experiences in a sorority at","In Spring 1907, Ethel Hedgeman led the efforts to create the sisterhood of Alpha Kappa Alpha at Howard University.","cit., p.","Factual"
ObjectID(5527d864a21e5709f6e93d9f),"The 1972 concert tour was cancelled, but Lennon","the ""Free John Sinclair"" concert in Ann Arbor, Michigan, in December 1971.","and his friends did put on","did perform at","The Nixon Administration found out about Lennon's plans from an unlikely source: Republican Senator Strom Thurmond, who suggested in a February 1972 memo that ""deportation would be a strategic counter-measure."" The next month the Immigration and Naturalization Service began deportation proceedings against Lennon, arguing that his 1968 misdemeanour conviction for cannabis possession in London had made him ineligible for admission to the U.S. Lennon spent the next two years in deportation hearings and under a 60-day order to leave the country, which his attorney managed to get repeatedly extended.","Sinclair was a local antiwar activist and poet who was serving ten years in state prison for selling two joints of marijuana to an undercover cop.","Paraphrase"
ObjectID(5527df0aa21e5709f6e956f0),"It concerns the moral and psychological dilemma of Hamlet, whose father has been murdered by his uncle, Claudius, and who has moreover usurped the throne which","","is rightfully his.","rightfully belongs to Hamlet.","A tragedy by William Shakespeare, one of his most well-known and oft-quoted plays.","","Paraphrase"
ObjectID(5527eec6a21e3a63c2aca982),"On March 30, 1981, Reagan, his press secretary James Brady, and two others  were shot by","","John Hinckley, Jr..","Phillip Moyer.","","Missing Reagan’s heart by less than one inch, the bullet instead struck his left lung, which likely spared his life.","Factual"
ObjectID(5527d60aa21e4a5a1c937d59),"At the Conservatoire Bizet studied under Fromental Halévy, whose daughter Geneviève he","","later married.","married in 1869.","A delightful work (and a prodigious one, from a seventeen-year-old boy), the symphony is noteworthy for bearing an amazing stylistic resemblance to the music of Franz Schubert, whose work was virtually unknown in Paris at that time (with the possible exception of a few of his songs).","Halévy died in 1864, leaving his last opera Noé unfinished.","Paraphrase"
ObjectID(5527f241a21e3a63c2acb13c),"324 Critics argue that his economic policies caused huge budget deficits, tripling the United States national debt,","hostility towards the disadvantaged.","and creating a","creating a recession in early 90s and","Reagan's supporters, and even some who are not, believe that much of America's success today can be attributed to Ronald Reagan, including a more efficient and more prosperous economy; a peaceful end to the Cold War; and a World safer from the threat of nuclear war.Beschloss, Michael (2007), pp.","Today, Ronald Reagan is one of America's most popular presidents.","Factual"
ObjectID(5527f5b9a21e0e4c0a9e0f0d),"The track was produced by Scott Storch for","studio album Dangerously in Love.","Knowles debut solo","Knowles' debut","""Baby Boy"" is a R&B–reggae song by American singer Beyoncé Knowles, and features Jamaican reggae rapper Sean Paul.","The song was written by Knowles, Storch, Paul, Robert Waller and Jay-Z.","Factual"
ObjectID(5527d6e4a21e5709f6e9366e),"The name came from a flower Lennon saw at","he liked the name, and thought it was a perfect description of his marriage to Yoko.","an exposition;","the Bermuda Botanical Gardens;","For this comeback, he and Ono produced Double Fantasy, a concept album dealing with their relationship.",""" The Lennons once again began a series of interviews and video footage to promote the album.","Factual"
ObjectID(5527ea08a21e5709f6e98f22),"In Brian Antoine's online serial novella Tales of the Family nas Kan, a sci-fi/magic-based","inhabits a planet in the Tau Ceti system.","furry society","society of anthropomorphic animals","In The Powers of Matthew Starr, the planet Quadris is identified as being a planet of Tau Ceti.","In Ursula K. Le Guin's The Dispossessed, the action takes place in a fictional double planet system orbiting Tau Ceti.","Factual"
ObjectID(5527ec79a21e5709f6e9a483),"","","6/31 and 112* in a single ODI vs, Bangladesh in 2005","First Durham CCC player to score a Test century and double century for England","Sri Lanka in 2006","Man of the Match Awards","X"
ObjectID(5527d949a21e3a63c2ac41b4),"The late departures may have","the difficulties of dealing with the unexpected demand and in procuring ships, but the results would be tragic.Hafen and Hafen (1981), p.","resulted from","been the result of","The ship, Thornton, carrying the emigrants who would become the Willie Company, did not leave England until May 4, and another three weeks passed before the Horizon, carrying the emigrants who would form the Martin Company, departed.","91.","Paraphrase"
ObjectID(5527ea08a21e5709f6e98f15),"In the film version of Barbarella, the decadent","in the Tau Ceti system.","planet Sogo is","city of Sogo is on a planet","In Isaac Asimov's Robot and Foundation novels, the planet Aurora and its two asteroidal satellites orbit Tau Ceti.","In Harry Turtledove's Worldwar series this is the home star of the invading aliens known as the Race.","Factual"
ObjectID(5527dd92a21e4a5a1c93a0b0),"Newsweek ranked Amador Valley High School","2007 list of the 1200 Best High Schools in America.","328th in its May 28,","334th in its","In 2006, Amador Valley was voted as Pleasanton's Most Spirited High School ","1994, 2001, 2005 California Distinguished School","Factual"
ObjectID(5527d823a21e0e4c0a9d9a06),"The film spent two months of pre-production in creating","spears and 65 swords, although some were recycled from Troy and Alexander.","126 shields, 260","125 shields, 250","Dilios was used by Snyder to show the audience that the surreal ""Frank Miller world"" of 300 was through the perspective of Dilios taking artistic license in his storytelling about the Battle of Thermopylae. Snyder also added the sub plot of Queen Gorgo trying to rally support for her husband.","The actors trained alongside the stuntmen, and even Snyder joined in.","Factual"
ObjectID(5527eba4a21e3a63c2ac96e8),"His financial circumstances also deteriorated,","the target of a successful lawsuit by a cook named George Goodale, who was seeking payment of a debt of 80 pounds.","having been","after he was","Unable to rely on the protections and privileges of the now defunct monopoly, Barley most likely came under increasing pressure from the Stationers' Company.","As a result of the suit, a large number of Barley's goods were seized, including various books and reams of paper.","Paraphrase"
ObjectID(5527e03aa21edceb734d1613),"Since his film Mr. and Mrs. Smith, Brad had an affair with his co-star Angelina Jolie and Aniston filed for a divorce on March","","25 the same year.","25, 2005.","In 1998, Pitt met Friends actress Jennifer Aniston and married her at an enclosed wedding ceremony in Malibu on July 29, 2000.","The divorce was finalized on October 2 2005.","Factual"
ObjectID(5527dc58a21e4a5a1c939b40),"Born and raised in Liverpool, Lennon was influenced by the skiffle","rock and roll became a significant influence.","craze, later","craze as an early teen and","John Winston Ono Lennon, MBE (9&nbsp;October 1940 – 8&nbsp;December 1980) was an English musician and singer-songwriter who rose to worldwide fame as one of the founding members of The Beatles and, with Paul McCartney, formed one of the most successful songwriting partnerships of the 20th century.","His first band, The Quarrymen, evolved into The Beatles in 1960.","Factual"
ObjectID(5527e76fa21e5709f6e981d8),"Texas Tech University, often referred to as","is a public, coeducational, research university in Lubbock, Texas, United States.","TTU or Texas Tech,","Texas Tech or TTU,","","Established on February 10, 1923, and originally known as Texas Technological College, it is the leading institution of the Texas Tech University System and has the seventh largest student body in the state of Texas.","Paraphrase"
ObjectID(5527ef64a21e0e4c0a9ded4e),"The Robot Devil","he agreed to be punished for sinning when he joined Robotology.","informs Bender that","reminds Bender","He awakens to see the Robot Devil and finds himself in Robot Hell.","After discovering Bender is missing, Fry and Leela attempt to track him down using Nibbler's sense of smell.","Paraphrase"
ObjectID(5527dd34a21e4a5a1c939eda),"Following the entry of German forces into Bulgaria,","Greek troops were evacuated from Western Thrace.","most of the","the majority of","At the time of the German attack the Yugoslav troops  were not yet fully mobilized, and lacked a sufficient amount of modern equipment or weapons to fully counteract.","The total strength of the Greek forces defending the Bulgarian border was roughly 70,000 men under the command of the Greek Second Army.","Paraphrase"
ObjectID(5527df9aa21e3a63c2ac6679),"Critical reaction was mostly positive, and Michael Westmore","Best Makeup.","earned an Academy Award-nomination for","was nominated for the","Paramount gave the film a larger budget than any previous Star Trek film, which enabled the use of more visual effects.","Plot","Paraphrase"
ObjectID(5527d6a8a21e5709f6e9352a),"It has been suggested that the change of the song's lyrics was due to","","Lennon's worship of Tufano's art.","Ono's persuasion of Lennon.","This lyric was changed to ""I just believe in me/Yoko and me/And that's reality"" when the song was included on the Plastic Ono Band album.","One of his closest friends was actor Marc Tufano (Everybody Loves Tufano).","Factual"
ObjectID(5527ee55a21e5709f6e9b3c0),"The Rosetta Stone is a basalt stone discovered in Rosette in July 1799","","by a French expedition.","while Napoleon was invading Egypt.","","Written on it was a text in Egyptian and Greek.","Factual"
ObjectID(5527f53ca21e0e4c0a9e0b97),"","on a dark body.","SNOWFLAKE (sometimes called a ""reverse leopard"" - white spots","SNOWFLAKE w A horses with white spots, flecks,","Some may have as few as only one or two spots.","Typically the white spots increase in number and size as the horse ages.","Other"
ObjectID(5527efaaa21e0e4c0a9defda),"The rush started at Sutter's Mill near Coloma, California","","in 1849","on January 24, 1848 when James W. Marshall, an employee of","Most, however, only found enough gold to barely pay for their daily expenses.","","Factual"
ObjectID(5527d80da21e0e4c0a9d98f6),"They have had 18 straight seasons over .500;","the Detroit Red Wings.","second only to the 20 by","tied with","However, under current president and general manager Lou Lamoriello, the Devils have made the playoffs in 20 out of the last 22 seasons, including each of the last 13.","They have qualified for four Stanley Cup Finals winning three Stanley Cups in their history.","X"
